ID,Start Time,Duration,Duration Milliseconds,Status,Error
GET /,2024-02-12T11:15:18+01:00,298.356208ms,298,200 OK,
PUT /anything,2024-02-12T11:15:18+01:00,294.417125ms,294,200 OK,
GET /anything,2024-02-12T11:15:18+01:00,292.52925ms,292,200 OK,
GET /anything,2024-02-12T11:15:18+01:00,298.999167ms,298,200 OK,
GET /anything,2024-02-12T11:15:18+01:00,298.665875ms,298,200 OK,
GET /,2024-02-12T11:15:19+01:00,298.564417ms,298,200 OK,
PUT /anything,2024-02-12T11:15:19+01:00,294.649708ms,294,200 OK,
PUT /anything,2024-02-12T11:15:19+01:00,302.412917ms,302,200 OK,
PUT /anything,2024-02-12T11:15:19+01:00,297.480916ms,297,200 OK,
GET /anything,2024-02-12T11:15:19+01:00,295.27775ms,295,200 OK,
GET /,2024-02-12T11:15:19+01:00,297.155583ms,297,200 OK,
GET /,2024-02-12T11:15:19+01:00,297.946375ms,297,200 OK,
GET /,2024-02-12T11:15:19+01:00,300.841833ms,300,200 OK,
PUT /anything,2024-02-12T11:15:19+01:00,295.425875ms,295,200 OK,
GET /anything,2024-02-12T11:15:19+01:00,295.218542ms,295,200 OK,
GET /anything,2024-02-12T11:15:19+01:00,297.07175ms,297,200 OK,
GET /anything,2024-02-12T11:15:19+01:00,297.791958ms,297,200 OK,
GET /,2024-02-12T11:15:20+01:00,297.729833ms,297,200 OK,
PUT /anything,2024-02-12T11:15:20+01:00,294.094125ms,294,200 OK,
PUT /anything,2024-02-12T11:15:20+01:00,297.230875ms,297,200 OK,
PUT /anything,2024-02-12T11:15:20+01:00,297.786458ms,297,200 OK,
GET /,2024-02-12T11:15:20+01:00,297.910792ms,297,200 OK,
GET /,2024-02-12T11:15:20+01:00,300.183125ms,300,200 OK,
GET /,2024-02-12T11:15:20+01:00,298.9025ms,298,200 OK,
GET /anything,2024-02-12T11:15:20+01:00,509.412792ms,509,200 OK,
GET /anything,2024-02-12T11:15:20+01:00,294.765625ms,294,200 OK,
GET /anything,2024-02-12T11:15:20+01:00,297.022042ms,297,200 OK,
GET /anything,2024-02-12T11:15:20+01:00,296.709125ms,296,200 OK,
PUT /anything,2024-02-12T11:15:20+01:00,298.698834ms,298,200 OK,
PUT /anything,2024-02-12T11:15:20+01:00,296.28575ms,296,200 OK,
PUT /anything,2024-02-12T11:15:21+01:00,296.585875ms,296,200 OK,
PUT /anything,2024-02-12T11:15:21+01:00,298.575166ms,298,200 OK,
GET /,2024-02-12T11:15:21+01:00,299.092833ms,299,200 OK,
GET /,2024-02-12T11:15:21+01:00,305.318208ms,305,200 OK,
GET /,2024-02-12T11:15:21+01:00,298.143333ms,298,200 OK,
GET /,2024-02-12T11:15:21+01:00,569.326458ms,569,200 OK,
GET /anything,2024-02-12T11:15:21+01:00,294.888708ms,294,200 OK,
GET /anything,2024-02-12T11:15:21+01:00,298.944333ms,298,200 OK,
GET /anything,2024-02-12T11:15:21+01:00,295.473667ms,295,200 OK,
PUT /anything,2024-02-12T11:15:21+01:00,294.674ms,294,200 OK,
PUT /anything,2024-02-12T11:15:21+01:00,300.361583ms,300,200 OK,
PUT /anything,2024-02-12T11:15:21+01:00,297.3415ms,297,200 OK,
GET /,2024-02-12T11:15:22+01:00,299.359583ms,299,200 OK,
GET /,2024-02-12T11:15:22+01:00,298.247167ms,298,200 OK,
GET /anything,2024-02-12T11:15:21+01:00,833.408625ms,833,200 OK,
GET /,2024-02-12T11:15:22+01:00,304.759875ms,304,200 OK,
GET /anything,2024-02-12T11:15:22+01:00,298.324125ms,298,200 OK,
GET /anything,2024-02-12T11:15:22+01:00,297.04175ms,297,200 OK,
PUT /anything,2024-02-12T11:15:22+01:00,294.657875ms,294,200 OK,
GET /anything,2024-02-12T11:15:22+01:00,298.844583ms,298,200 OK,
PUT /anything,2024-02-12T11:15:22+01:00,298.033833ms,298,200 OK,
PUT /anything,2024-02-12T11:15:22+01:00,297.682833ms,297,200 OK,
GET /,2024-02-12T11:15:22+01:00,297.204ms,297,200 OK,
PUT /anything,2024-02-12T11:15:22+01:00,298.173791ms,298,200 OK,
GET /,2024-02-12T11:15:22+01:00,300.638792ms,300,200 OK,
GET /anything,2024-02-12T11:15:23+01:00,295.866083ms,295,200 OK,
GET /anything,2024-02-12T11:15:23+01:00,296.888542ms,296,200 OK,
PUT /anything,2024-02-12T11:15:23+01:00,299.678ms,299,200 OK,
